prompt_idx,template,clean_sentence,corrupted_sentence,clean_IO,clean_S,corrupted_IO,corrupted_S,clean_io_token_id,clean_s_token_id,corrupted_io_token_id,corrupted_s_token_id,end_position,place,object
1165,ABBA,"Then, Ashley and Katie had a long argument, and afterwards Katie said to Ashley","Then, Katie and Ashley had a long argument, and afterwards Ashley said to Katie",Ashley,Katie,Katie,Ashley,42702,46526,46526,42702,15,hospital,computer
1166,ABBA,"Then, Lisa and Stephen had a lot of fun at the restaurant. Stephen gave a ring to Lisa","Then, Stephen and Lisa had a lot of fun at the restaurant. Lisa gave a ring to Stephen",Lisa,Stephen,Stephen,Lisa,25380,18653,18653,25380,19,restaurant,ring
1167,BABA,"Then, Alicia and Christina had a long argument, and afterwards Alicia said to Christina","Then, Christina and Alicia had a long argument, and afterwards Christina said to Alicia",Christina,Alicia,Alicia,Christina,58025,77804,77804,58025,15,store,computer
1168,BABA,"Then, Brandon and James were working at the garden. Brandon decided to give a computer to James","Then, James and Brandon were working at the garden. James decided to give a computer to Brandon",James,Brandon,Brandon,James,6110,45225,45225,6110,18,garden,computer
1169,ABBA,"When Brandon and Mary got a computer at the hospital, Mary decided to give it to Brandon","When Mary and Brandon got a computer at the hospital, Brandon decided to give it to Mary",Brandon,Mary,Mary,Brandon,45225,7473,7473,45225,17,hospital,computer
1170,ABBA,"Then, Alicia and Andrew had a lot of fun at the restaurant. Andrew gave a bone to Alicia","Then, Andrew and Alicia had a lot of fun at the restaurant. Alicia gave a bone to Andrew",Alicia,Andrew,Andrew,Alicia,77804,15970,15970,77804,19,restaurant,bone
1171,BABA,"Then, Jeffrey and Charles had a long argument, and afterwards Jeffrey said to Charles","Then, Charles and Jeffrey had a long argument, and afterwards Charles said to Jeffrey",Charles,Jeffrey,Jeffrey,Charles,8868,48206,48206,8868,15,hospital,basketball
1172,BABA,"Then, Nathan and Brian were working at the office. Nathan decided to give a kiss to Brian","Then, Brian and Nathan were working at the office. Brian decided to give a kiss to Nathan",Brian,Nathan,Nathan,Brian,19924,32743,32743,19924,18,office,kiss
1173,ABBA,"Then, Gregory and Sarah went to the house. Sarah gave a drink to Gregory","Then, Sarah and Gregory went to the house. Gregory gave a drink to Sarah",Gregory,Sarah,Sarah,Gregory,39706,19400,19400,39706,15,house,drink
1174,BABA,"When Aaron and Kristen got a basketball at the restaurant, Aaron decided to give it to Kristen","When Kristen and Aaron got a basketball at the restaurant, Kristen decided to give it to Aaron",Kristen,Aaron,Aaron,Kristen,76665,32057,32057,76665,17,restaurant,basketball
1175,BABA,"Then, Danielle and Christine were thinking about going to the hospital. Danielle wanted to give a kiss to Christine","Then, Christine and Danielle were thinking about going to the hospital. Christine wanted to give a kiss to Danielle",Christine,Danielle,Danielle,Christine,45698,84486,84486,45698,20,hospital,kiss
1176,ABBA,"Then, Jonathan and Jacob had a lot of fun at the station. Jacob gave a computer to Jonathan","Then, Jacob and Jonathan had a lot of fun at the station. Jonathan gave a computer to Jacob",Jonathan,Jacob,Jacob,Jonathan,25571,21297,21297,25571,19,station,computer
1177,BABA,"Then, Allison and Cody were working at the school. Allison decided to give a drink to Cody","Then, Cody and Allison were working at the school. Cody decided to give a drink to Allison",Cody,Allison,Allison,Cody,67768,64426,64426,67768,18,school,drink
1178,BABA,"Then, Crystal and Shannon had a long argument, and afterwards Crystal said to Shannon","Then, Shannon and Crystal had a long argument, and afterwards Shannon said to Crystal",Shannon,Crystal,Crystal,Shannon,54673,28166,28166,54673,15,hospital,bone
1179,ABBA,"Then, Emily and Christopher were working at the station. Christopher decided to give a drink to Emily","Then, Christopher and Emily were working at the station. Emily decided to give a drink to Christopher",Emily,Christopher,Christopher,Emily,31325,27402,27402,31325,18,station,drink
1180,BABA,"Then, Nathan and Laura had a long argument, and afterwards Nathan said to Laura","Then, Laura and Nathan had a long argument, and afterwards Laura said to Nathan",Laura,Nathan,Nathan,Laura,24277,32743,32743,24277,15,store,kiss
1181,ABBA,"Then, Kenneth and Richard were working at the hospital. Richard decided to give a necklace to Kenneth","Then, Richard and Kenneth were working at the hospital. Kenneth decided to give a necklace to Richard",Kenneth,Richard,Richard,Kenneth,40980,9135,9135,40980,18,hospital,necklace
1182,ABBA,"When Steven and John got a snack at the house, John decided to give it to Steven","When John and Steven got a snack at the house, Steven decided to give it to John",Steven,John,John,Steven,23114,3350,3350,23114,17,house,snack
1183,BABA,"Then, Cody and Alexander had a lot of fun at the school. Cody gave a necklace to Alexander","Then, Alexander and Cody had a lot of fun at the school. Alexander gave a necklace to Cody",Alexander,Cody,Cody,Alexander,16188,67768,67768,16188,19,school,necklace
1184,BABA,"Then, Brian and Katie had a long argument, and afterwards Brian said to Katie","Then, Katie and Brian had a long argument, and afterwards Katie said to Brian",Katie,Brian,Brian,Katie,46526,19924,19924,46526,15,store,ring
1185,ABBA,"Then, Daniel and Christopher were thinking about going to the garden. Christopher wanted to give a kiss to Daniel","Then, Christopher and Daniel were thinking about going to the garden. Daniel wanted to give a kiss to Christopher",Daniel,Christopher,Christopher,Daniel,10754,27402,27402,10754,20,garden,kiss
1186,BABA,"Then, Danielle and Charles had a long argument, and afterwards Danielle said to Charles","Then, Charles and Danielle had a long argument, and afterwards Charles said to Danielle",Charles,Danielle,Danielle,Charles,8868,84486,84486,8868,15,hospital,computer
1187,BABA,"When Matthew and Ashley got a ring at the garden, Matthew decided to give it to Ashley","When Ashley and Matthew got a ring at the garden, Ashley decided to give it to Matthew",Ashley,Matthew,Matthew,Ashley,42702,23739,23739,42702,17,garden,ring
1188,BABA,"Then, Heather and Kristen were thinking about going to the garden. Heather wanted to give a kiss to Kristen","Then, Kristen and Heather were thinking about going to the garden. Kristen wanted to give a kiss to Heather",Kristen,Heather,Heather,Kristen,76665,51593,51593,76665,20,garden,kiss
1189,ABBA,"After Erica and Brandon went to the restaurant, Brandon gave a kiss to Erica","After Brandon and Erica went to the restaurant, Erica gave a kiss to Brandon",Erica,Brandon,Brandon,Erica,95692,45225,45225,95692,14,restaurant,kiss
1190,BABA,"Then, Melissa and Brian went to the station. Melissa gave a kiss to Brian","Then, Brian and Melissa went to the station. Brian gave a kiss to Melissa",Brian,Melissa,Melissa,Brian,19924,52521,52521,19924,15,station,kiss
1191,BABA,"Then, Thomas and Rebecca had a long argument, and afterwards Thomas said to Rebecca","Then, Rebecca and Thomas had a long argument, and afterwards Rebecca said to Thomas",Rebecca,Thomas,Thomas,Rebecca,43057,7536,7536,43057,15,house,necklace
1192,ABBA,"When William and David got a drink at the store, David decided to give it to William","When David and William got a drink at the store, William decided to give it to David",William,David,David,William,7130,6046,6046,7130,17,store,drink
1193,BABA,"After Amanda and Amber went to the hospital, Amanda gave a bone to Amber","After Amber and Amanda went to the hospital, Amber gave a bone to Amanda",Amber,Amanda,Amanda,Amber,47235,43069,43069,47235,14,hospital,bone
1194,BABA,"Then, Sean and Daniel were working at the house. Sean decided to give a bone to Daniel","Then, Daniel and Sean were working at the house. Daniel decided to give a bone to Sean",Daniel,Sean,Sean,Daniel,10754,34723,34723,10754,18,house,bone
1195,BABA,"Then, Joseph and Sean had a long argument, and afterwards Joseph said to Sean","Then, Sean and Joseph had a long argument, and afterwards Sean said to Joseph",Sean,Joseph,Joseph,Sean,34723,10954,10954,34723,15,house,basketball
1196,BABA,"Then, Joseph and Bryan were thinking about going to the hospital. Joseph wanted to give a kiss to Bryan","Then, Bryan and Joseph were thinking about going to the hospital. Bryan wanted to give a kiss to Joseph",Bryan,Joseph,Joseph,Bryan,39746,10954,10954,39746,20,hospital,kiss
1197,ABBA,"Then, Christine and Melissa had a lot of fun at the store. Melissa gave a snack to Christine","Then, Melissa and Christine had a lot of fun at the store. Christine gave a snack to Melissa",Christine,Melissa,Melissa,Christine,45698,52521,52521,45698,19,store,snack
1198,ABBA,"Then, Lindsey and Kenneth went to the store. Kenneth gave a drink to Lindsey","Then, Kenneth and Lindsey went to the store. Lindsey gave a drink to Kenneth",Lindsey,Kenneth,Kenneth,Lindsey,95807,40980,40980,95807,15,store,drink
1199,ABBA,"When Sarah and Lindsay got a ring at the house, Lindsay decided to give it to Sarah","When Lindsay and Sarah got a ring at the house, Sarah decided to give it to Lindsay",Sarah,Lindsay,Lindsay,Sarah,19400,61987,61987,19400,17,house,ring
1200,ABBA,"Then, Shannon and Samuel were working at the station. Samuel decided to give a drink to Shannon","Then, Samuel and Shannon were working at the station. Shannon decided to give a drink to Samuel",Shannon,Samuel,Samuel,Shannon,54673,19784,19784,54673,18,station,drink
1201,BABA,"After Daniel and Christine went to the school, Daniel gave a ring to Christine","After Christine and Daniel went to the school, Christine gave a ring to Daniel",Christine,Daniel,Daniel,Christine,45698,10754,10754,45698,14,school,ring
1202,BABA,"After Patrick and Katie went to the office, Patrick gave a necklace to Katie","After Katie and Patrick went to the office, Katie gave a necklace to Patrick",Katie,Patrick,Patrick,Katie,46526,19785,19785,46526,14,office,necklace
1203,BABA,"Then, Tiffany and Kyle had a long argument, and afterwards Tiffany said to Kyle","Then, Kyle and Tiffany had a long argument, and afterwards Kyle said to Tiffany",Kyle,Tiffany,Tiffany,Kyle,40358,78477,78477,40358,15,garden,necklace
1204,ABBA,"Then, Brittany and James were working at the hospital. James decided to give a basketball to Brittany","Then, James and Brittany were working at the hospital. Brittany decided to give a basketball to James",Brittany,James,James,Brittany,92030,6110,6110,92030,18,hospital,basketball
1205,ABBA,"Then, Paul and Jennifer went to the school. Jennifer gave a computer to Paul","Then, Jennifer and Paul went to the school. Paul gave a computer to Jennifer",Paul,Jennifer,Jennifer,Paul,6369,30904,30904,6369,15,school,computer
1206,BABA,"Then, Joseph and Crystal went to the office. Joseph gave a snack to Crystal","Then, Crystal and Joseph went to the office. Crystal gave a snack to Joseph",Crystal,Joseph,Joseph,Crystal,28166,10954,10954,28166,15,office,snack
1207,ABBA,"After Lisa and Aaron went to the school, Aaron gave a bone to Lisa","After Aaron and Lisa went to the school, Lisa gave a bone to Aaron",Lisa,Aaron,Aaron,Lisa,25380,32057,32057,25380,14,school,bone
1208,ABBA,"Then, Nicole and Matthew had a lot of fun at the school. Matthew gave a snack to Nicole","Then, Matthew and Nicole had a lot of fun at the school. Nicole gave a snack to Matthew",Nicole,Matthew,Matthew,Nicole,42462,23739,23739,42462,19,school,snack
1209,BABA,"After Dustin and Daniel went to the hospital, Dustin gave a snack to Daniel","After Daniel and Dustin went to the hospital, Daniel gave a snack to Dustin",Daniel,Dustin,Dustin,Daniel,10754,116288,116288,10754,14,hospital,snack
1210,ABBA,"Then, Charles and Jessica were working at the office. Jessica decided to give a ring to Charles","Then, Jessica and Charles were working at the office. Charles decided to give a ring to Jessica",Charles,Jessica,Jessica,Charles,8868,36171,36171,8868,18,office,ring
1211,ABBA,"Then, Courtney and Jennifer had a long argument, and afterwards Jennifer said to Courtney","Then, Jennifer and Courtney had a long argument, and afterwards Courtney said to Jennifer",Courtney,Jennifer,Jennifer,Courtney,81161,30904,30904,81161,15,garden,basketball
1212,BABA,"Then, Jose and Lindsey had a lot of fun at the station. Jose gave a bone to Lindsey","Then, Lindsey and Jose had a lot of fun at the station. Lindsey gave a bone to Jose",Lindsey,Jose,Jose,Lindsey,95807,8289,8289,95807,19,station,bone
1213,BABA,"Then, Elizabeth and Katherine went to the store. Elizabeth gave a bone to Katherine","Then, Katherine and Elizabeth went to the store. Katherine gave a bone to Elizabeth",Katherine,Elizabeth,Elizabeth,Katherine,58448,15419,15419,58448,15,store,bone
1214,BABA,"Then, Jessica and Lindsey were working at the store. Jessica decided to give a basketball to Lindsey","Then, Lindsey and Jessica were working at the store. Lindsey decided to give a basketball to Jessica",Lindsey,Jessica,Jessica,Lindsey,95807,36171,36171,95807,18,store,basketball
1215,BABA,"Then, Brandon and Lindsey went to the restaurant. Brandon gave a ring to Lindsey","Then, Lindsey and Brandon went to the restaurant. Lindsey gave a ring to Brandon",Lindsey,Brandon,Brandon,Lindsey,95807,45225,45225,95807,15,restaurant,ring
1216,ABBA,"When John and Rebecca got a kiss at the restaurant, Rebecca decided to give it to John","When Rebecca and John got a kiss at the restaurant, John decided to give it to Rebecca",John,Rebecca,Rebecca,John,3350,43057,43057,3350,17,restaurant,kiss
1217,ABBA,"Then, Joseph and Andrew were thinking about going to the school. Andrew wanted to give a kiss to Joseph","Then, Andrew and Joseph were thinking about going to the school. Joseph wanted to give a kiss to Andrew",Joseph,Andrew,Andrew,Joseph,10954,15970,15970,10954,20,school,kiss
1218,BABA,"Then, Mark and Nicholas had a lot of fun at the house. Mark gave a necklace to Nicholas","Then, Nicholas and Mark had a lot of fun at the house. Nicholas gave a necklace to Mark",Nicholas,Mark,Mark,Nicholas,34218,4082,4082,34218,19,house,necklace
1219,ABBA,"After Jesse and Scott went to the restaurant, Scott gave a necklace to Jesse","After Scott and Jesse went to the restaurant, Jesse gave a necklace to Scott",Jesse,Scott,Scott,Jesse,46041,12511,12511,46041,14,restaurant,necklace
1220,ABBA,"Then, Heather and Bradley were thinking about going to the restaurant. Bradley wanted to give a necklace to Heather","Then, Bradley and Heather were thinking about going to the restaurant. Heather wanted to give a necklace to Bradley",Heather,Bradley,Bradley,Heather,51593,42915,42915,51593,20,restaurant,necklace
1221,ABBA,"After Ryan and Thomas went to the house, Thomas gave a bone to Ryan","After Thomas and Ryan went to the house, Ryan gave a bone to Thomas",Ryan,Thomas,Thomas,Ryan,18894,7536,7536,18894,14,house,bone
1222,BABA,"Then, Paul and Jeffrey went to the station. Paul gave a basketball to Jeffrey","Then, Jeffrey and Paul went to the station. Jeffrey gave a basketball to Paul",Jeffrey,Paul,Paul,Jeffrey,48206,6369,6369,48206,15,station,basketball
1223,BABA,"Then, Jason and Jennifer were thinking about going to the house. Jason wanted to give a bone to Jennifer","Then, Jennifer and Jason were thinking about going to the house. Jennifer wanted to give a bone to Jason",Jennifer,Jason,Jason,Jennifer,30904,23019,23019,30904,20,house,bone
1224,ABBA,"Then, Sean and James had a lot of fun at the store. James gave a bone to Sean","Then, James and Sean had a lot of fun at the store. Sean gave a bone to James",Sean,James,James,Sean,34723,6110,6110,34723,19,store,bone
1225,ABBA,"After Shannon and Lindsey went to the hospital, Lindsey gave a drink to Shannon","After Lindsey and Shannon went to the hospital, Shannon gave a drink to Lindsey",Shannon,Lindsey,Lindsey,Shannon,54673,95807,95807,54673,14,hospital,drink
1226,BABA,"Then, Stephen and Samuel went to the restaurant. Stephen gave a basketball to Samuel","Then, Samuel and Stephen went to the restaurant. Samuel gave a basketball to Stephen",Samuel,Stephen,Stephen,Samuel,19784,18653,18653,19784,15,restaurant,basketball
1227,ABBA,"Then, Kenneth and Steven went to the station. Steven gave a drink to Kenneth","Then, Steven and Kenneth went to the station. Kenneth gave a drink to Steven",Kenneth,Steven,Steven,Kenneth,40980,23114,23114,40980,15,station,drink
1228,BABA,"When Mary and Stephanie got a bone at the store, Mary decided to give it to Stephanie","When Stephanie and Mary got a bone at the store, Stephanie decided to give it to Mary",Stephanie,Mary,Mary,Stephanie,55361,7473,7473,55361,17,store,bone
1229,BABA,"Then, Mary and Erin went to the hospital. Mary gave a necklace to Erin","Then, Erin and Mary went to the hospital. Erin gave a necklace to Mary",Erin,Mary,Mary,Erin,42201,7473,7473,42201,15,hospital,necklace
1230,BABA,"After Angela and Michael went to the school, Angela gave a kiss to Michael","After Michael and Angela went to the school, Michael gave a kiss to Angela",Michael,Angela,Angela,Michael,7939,43971,43971,7939,14,school,kiss
1231,ABBA,"Then, John and Travis were working at the school. Travis decided to give a snack to John","Then, Travis and John were working at the school. John decided to give a snack to Travis",John,Travis,Travis,John,3350,52664,52664,3350,18,school,snack
1232,BABA,"Then, Kristen and Lisa had a lot of fun at the hospital. Kristen gave a ring to Lisa","Then, Lisa and Kristen had a lot of fun at the hospital. Lisa gave a ring to Kristen",Lisa,Kristen,Kristen,Lisa,25380,76665,76665,25380,19,hospital,ring
1233,BABA,"When Sarah and Andrew got a snack at the station, Sarah decided to give it to Andrew","When Andrew and Sarah got a snack at the station, Andrew decided to give it to Sarah",Andrew,Sarah,Sarah,Andrew,15970,19400,19400,15970,17,station,snack
1234,ABBA,"Then, William and Jose went to the store. Jose gave a necklace to William","Then, Jose and William went to the store. William gave a necklace to Jose",William,Jose,Jose,William,7130,8289,8289,7130,15,store,necklace
1235,ABBA,"When Anthony and Emily got a snack at the office, Emily decided to give it to Anthony","When Emily and Anthony got a snack at the office, Anthony decided to give it to Emily",Anthony,Emily,Emily,Anthony,21504,31325,31325,21504,17,office,snack
1236,ABBA,"Then, Joseph and Alicia had a lot of fun at the restaurant. Alicia gave a bone to Joseph","Then, Alicia and Joseph had a lot of fun at the restaurant. Joseph gave a bone to Alicia",Joseph,Alicia,Alicia,Joseph,10954,77804,77804,10954,19,restaurant,bone
1237,BABA,"Then, Sean and Matthew had a lot of fun at the garden. Sean gave a kiss to Matthew","Then, Matthew and Sean had a lot of fun at the garden. Matthew gave a kiss to Sean",Matthew,Sean,Sean,Matthew,23739,34723,34723,23739,19,garden,kiss
1238,BABA,"When Aaron and Courtney got a drink at the office, Aaron decided to give it to Courtney","When Courtney and Aaron got a drink at the office, Courtney decided to give it to Aaron",Courtney,Aaron,Aaron,Courtney,81161,32057,32057,81161,17,office,drink
1239,BABA,"When Alexander and Cody got a kiss at the school, Alexander decided to give it to Cody","When Cody and Alexander got a kiss at the school, Cody decided to give it to Alexander",Cody,Alexander,Alexander,Cody,67768,16188,16188,67768,17,school,kiss
1240,ABBA,"Then, Elizabeth and John had a long argument, and afterwards John said to Elizabeth","Then, John and Elizabeth had a long argument, and afterwards Elizabeth said to John",Elizabeth,John,John,Elizabeth,15419,3350,3350,15419,15,house,basketball
1241,BABA,"After David and Eric went to the station, David gave a ring to Eric","After Eric and David went to the station, Eric gave a ring to David",Eric,David,David,Eric,19288,6046,6046,19288,14,station,ring
1242,BABA,"After Heather and Justin went to the station, Heather gave a bone to Justin","After Justin and Heather went to the station, Justin gave a bone to Heather",Justin,Heather,Heather,Justin,27031,51593,51593,27031,14,station,bone
1243,BABA,"After Jason and Jeffrey went to the school, Jason gave a necklace to Jeffrey","After Jeffrey and Jason went to the school, Jeffrey gave a necklace to Jason",Jeffrey,Jason,Jason,Jeffrey,48206,23019,23019,48206,14,school,necklace
1244,ABBA,"When Nicholas and Amber got a ring at the store, Amber decided to give it to Nicholas","When Amber and Nicholas got a ring at the store, Nicholas decided to give it to Amber",Nicholas,Amber,Amber,Nicholas,34218,47235,47235,34218,17,store,ring
1245,ABBA,"When Jason and Andrew got a drink at the station, Andrew decided to give it to Jason","When Andrew and Jason got a drink at the station, Jason decided to give it to Andrew",Jason,Andrew,Andrew,Jason,23019,15970,15970,23019,17,station,drink
1246,ABBA,"Then, Bradley and Brittany went to the hospital. Brittany gave a bone to Bradley","Then, Brittany and Bradley went to the hospital. Bradley gave a bone to Brittany",Bradley,Brittany,Brittany,Bradley,42915,92030,92030,42915,15,hospital,bone
1247,BABA,"Then, Mary and Kenneth had a lot of fun at the school. Mary gave a kiss to Kenneth","Then, Kenneth and Mary had a lot of fun at the school. Kenneth gave a kiss to Mary",Kenneth,Mary,Mary,Kenneth,40980,7473,7473,40980,19,school,kiss
1248,BABA,"After Sean and Samantha went to the station, Sean gave a snack to Samantha","After Samantha and Sean went to the station, Samantha gave a snack to Sean",Samantha,Sean,Sean,Samantha,73605,34723,34723,73605,14,station,snack
1249,ABBA,"When Christopher and Christine got a basketball at the school, Christine decided to give it to Christopher","When Christine and Christopher got a basketball at the school, Christopher decided to give it to Christine",Christopher,Christine,Christine,Christopher,27402,45698,45698,27402,17,school,basketball
1250,ABBA,"Then, Emily and Katherine had a long argument, and afterwards Katherine said to Emily","Then, Katherine and Emily had a long argument, and afterwards Emily said to Katherine",Emily,Katherine,Katherine,Emily,31325,58448,58448,31325,15,restaurant,ring
1251,BABA,"After Samuel and Christine went to the store, Samuel gave a drink to Christine","After Christine and Samuel went to the store, Christine gave a drink to Samuel",Christine,Samuel,Samuel,Christine,45698,19784,19784,45698,14,store,drink
1252,ABBA,"Then, Michelle and Patrick were working at the garden. Patrick decided to give a snack to Michelle","Then, Patrick and Michelle were working at the garden. Michelle decided to give a snack to Patrick",Michelle,Patrick,Patrick,Michelle,37108,19785,19785,37108,18,garden,snack
1253,BABA,"Then, James and Adam were working at the store. James decided to give a drink to Adam","Then, Adam and James were working at the store. Adam decided to give a drink to James",Adam,James,James,Adam,14876,6110,6110,14876,18,store,drink
1254,BABA,"When Richard and Brandon got a kiss at the school, Richard decided to give it to Brandon","When Brandon and Richard got a kiss at the school, Brandon decided to give it to Richard",Brandon,Richard,Richard,Brandon,45225,9135,9135,45225,17,school,kiss
1255,ABBA,"Then, Patrick and Jose had a lot of fun at the restaurant. Jose gave a snack to Patrick","Then, Jose and Patrick had a lot of fun at the restaurant. Patrick gave a snack to Jose",Patrick,Jose,Jose,Patrick,19785,8289,8289,19785,19,restaurant,snack
1256,ABBA,"Then, Scott and Cody were thinking about going to the store. Cody wanted to give a snack to Scott","Then, Cody and Scott were thinking about going to the store. Scott wanted to give a snack to Cody",Scott,Cody,Cody,Scott,12511,67768,67768,12511,20,store,snack
1257,BABA,"Then, Jason and Samuel were working at the house. Jason decided to give a bone to Samuel","Then, Samuel and Jason were working at the house. Samuel decided to give a bone to Jason",Samuel,Jason,Jason,Samuel,19784,23019,23019,19784,18,house,bone
1258,BABA,"Then, Lisa and Jeffrey had a lot of fun at the store. Lisa gave a kiss to Jeffrey","Then, Jeffrey and Lisa had a lot of fun at the store. Jeffrey gave a kiss to Lisa",Jeffrey,Lisa,Lisa,Jeffrey,48206,25380,25380,48206,19,store,kiss
1259,BABA,"After Amber and Katie went to the store, Amber gave a computer to Katie","After Katie and Amber went to the store, Katie gave a computer to Amber",Katie,Amber,Amber,Katie,46526,47235,47235,46526,14,store,computer
1260,BABA,"After Steven and Allison went to the school, Steven gave a kiss to Allison","After Allison and Steven went to the school, Allison gave a kiss to Steven",Allison,Steven,Steven,Allison,64426,23114,23114,64426,14,school,kiss
1261,BABA,"Then, Alicia and Amber were thinking about going to the office. Alicia wanted to give a ring to Amber","Then, Amber and Alicia were thinking about going to the office. Amber wanted to give a ring to Alicia",Amber,Alicia,Alicia,Amber,47235,77804,77804,47235,20,office,ring
1262,ABBA,"After Crystal and Kimberly went to the store, Kimberly gave a necklace to Crystal","After Kimberly and Crystal went to the store, Crystal gave a necklace to Kimberly",Crystal,Kimberly,Kimberly,Crystal,28166,102292,102292,28166,14,store,necklace
1263,ABBA,"Then, Stephanie and Bryan had a long argument, and afterwards Bryan said to Stephanie","Then, Bryan and Stephanie had a long argument, and afterwards Stephanie said to Bryan",Stephanie,Bryan,Bryan,Stephanie,55361,39746,39746,55361,15,garden,basketball
1264,ABBA,"Then, Amber and Adam went to the garden. Adam gave a snack to Amber","Then, Adam and Amber went to the garden. Amber gave a snack to Adam",Amber,Adam,Adam,Amber,47235,14876,14876,47235,15,garden,snack
1265,BABA,"Then, Katherine and Allison went to the school. Katherine gave a basketball to Allison","Then, Allison and Katherine went to the school. Allison gave a basketball to Katherine",Allison,Katherine,Katherine,Allison,64426,58448,58448,64426,15,school,basketball
1266,ABBA,"Then, Richard and Steven had a long argument, and afterwards Steven said to Richard","Then, Steven and Richard had a long argument, and afterwards Richard said to Steven",Richard,Steven,Steven,Richard,9135,23114,23114,9135,15,house,computer
1267,ABBA,"Then, Daniel and Jeffrey had a lot of fun at the station. Jeffrey gave a snack to Daniel","Then, Jeffrey and Daniel had a lot of fun at the station. Daniel gave a snack to Jeffrey",Daniel,Jeffrey,Jeffrey,Daniel,10754,48206,48206,10754,19,station,snack
1268,ABBA,"Then, Nathan and Ryan were working at the hospital. Ryan decided to give a snack to Nathan","Then, Ryan and Nathan were working at the hospital. Nathan decided to give a snack to Ryan",Nathan,Ryan,Ryan,Nathan,32743,18894,18894,32743,18,hospital,snack
1269,BABA,"Then, Alexander and Jeffrey were thinking about going to the garden. Alexander wanted to give a basketball to Jeffrey","Then, Jeffrey and Alexander were thinking about going to the garden. Jeffrey wanted to give a basketball to Alexander",Jeffrey,Alexander,Alexander,Jeffrey,48206,16188,16188,48206,20,garden,basketball
1270,BABA,"Then, James and Robert were working at the restaurant. James decided to give a computer to Robert","Then, Robert and James were working at the restaurant. Robert decided to give a computer to James",Robert,James,James,Robert,7866,6110,6110,7866,18,restaurant,computer
1271,ABBA,"After Joseph and Jonathan went to the garden, Jonathan gave a bone to Joseph","After Jonathan and Joseph went to the garden, Joseph gave a bone to Jonathan",Joseph,Jonathan,Jonathan,Joseph,10954,25571,25571,10954,14,garden,bone
1272,BABA,"Then, Anthony and Sarah were working at the store. Anthony decided to give a computer to Sarah","Then, Sarah and Anthony were working at the store. Sarah decided to give a computer to Anthony",Sarah,Anthony,Anthony,Sarah,19400,21504,21504,19400,18,store,computer
1273,BABA,"After Dustin and Jesse went to the station, Dustin gave a necklace to Jesse","After Jesse and Dustin went to the station, Jesse gave a necklace to Dustin",Jesse,Dustin,Dustin,Jesse,46041,116288,116288,46041,14,station,necklace
1274,BABA,"After Alicia and Aaron went to the store, Alicia gave a computer to Aaron","After Aaron and Alicia went to the store, Aaron gave a computer to Alicia",Aaron,Alicia,Alicia,Aaron,32057,77804,77804,32057,14,store,computer
1275,BABA,"When Jessica and Daniel got a drink at the office, Jessica decided to give it to Daniel","When Daniel and Jessica got a drink at the office, Daniel decided to give it to Jessica",Daniel,Jessica,Jessica,Daniel,10754,36171,36171,10754,17,office,drink
1276,BABA,"Then, Lindsey and Brittany were thinking about going to the office. Lindsey wanted to give a snack to Brittany","Then, Brittany and Lindsey were thinking about going to the office. Brittany wanted to give a snack to Lindsey",Brittany,Lindsey,Lindsey,Brittany,92030,95807,95807,92030,20,office,snack
1277,BABA,"Then, Lindsay and Jose were thinking about going to the station. Lindsay wanted to give a snack to Jose","Then, Jose and Lindsay were thinking about going to the station. Jose wanted to give a snack to Lindsay",Jose,Lindsay,Lindsay,Jose,8289,61987,61987,8289,20,station,snack
1278,ABBA,"When Tyler and Brandon got a computer at the restaurant, Brandon decided to give it to Tyler","When Brandon and Tyler got a computer at the restaurant, Tyler decided to give it to Brandon",Tyler,Brandon,Brandon,Tyler,35975,45225,45225,35975,17,restaurant,computer
1279,BABA,"When Jeffrey and Patrick got a bone at the store, Jeffrey decided to give it to Patrick","When Patrick and Jeffrey got a bone at the store, Patrick decided to give it to Jeffrey",Patrick,Jeffrey,Jeffrey,Patrick,19785,48206,48206,19785,17,store,bone
1280,ABBA,"Then, Timothy and Rebecca had a long argument, and afterwards Rebecca said to Timothy","Then, Rebecca and Timothy had a long argument, and afterwards Timothy said to Rebecca",Timothy,Rebecca,Rebecca,Timothy,44708,43057,43057,44708,15,restaurant,computer
1281,ABBA,"Then, Stephanie and Shannon went to the restaurant. Shannon gave a bone to Stephanie","Then, Shannon and Stephanie went to the restaurant. Stephanie gave a bone to Shannon",Stephanie,Shannon,Shannon,Stephanie,55361,54673,54673,55361,15,restaurant,bone
1282,BABA,"When Jennifer and Andrew got a snack at the restaurant, Jennifer decided to give it to Andrew","When Andrew and Jennifer got a snack at the restaurant, Andrew decided to give it to Jennifer",Andrew,Jennifer,Jennifer,Andrew,15970,30904,30904,15970,17,restaurant,snack
1283,ABBA,"When Jeffrey and Brian got a necklace at the store, Brian decided to give it to Jeffrey","When Brian and Jeffrey got a necklace at the store, Jeffrey decided to give it to Brian",Jeffrey,Brian,Brian,Jeffrey,48206,19924,19924,48206,17,store,necklace
1284,ABBA,"Then, Justin and Jeffrey had a long argument, and afterwards Jeffrey said to Justin","Then, Jeffrey and Justin had a long argument, and afterwards Justin said to Jeffrey",Justin,Jeffrey,Jeffrey,Justin,27031,48206,48206,27031,15,restaurant,computer
